Dates,SPX Index,SXXP Index,NKY Index,SHCOMP Index,HSCEI Index,TWSE Index,KOSPI Index,SENSEX Index,MXSO Index,MXMU Index,MXLA Index,G0Q0 Index,G0BC Index,H0A0 Index,IP00 Index,DXY Index,EURUSD curncy,JPYUSD curncy,HKDUSD CURNCY,TWDUSD CURNCY,KRWUSD CURNCY,INRUSD CURNCY,SGDUSD CURNCY,THBUSD CURNCY,MYRUSD CURNCY,IDRUSD CURNCY,PHPUSD CURNCY,RUBUSd CURNCY,TRYUSD CURNCY,BRLUSD CURNCY,MXNUSD CURNCY
2010-01-01,1115.1,253.89,10546.44,3277.139,12794.13,8188.11,1682.77,17464.81,627.3,462.33,4116.74,1255.296,220.192,684.983,726.298,77.86,1.4324,0.010749,0.12895,0.031265,0.08624,0.021448,0.7123,0.029994,0.2929,0.106553,0.021692,0.03329,0.66723,0.5738,0.07633
2010-01-04,1132.98,257.65,10654.79,3243.76,12750.55,8207.85,1696.14,17558.73,632.13,469.01,4243.71,1256.213,221.284,687.562,729.174,77.525,1.4413,0.010809,0.12894,0.03152,0.08693,0.021598,0.7149,0.030091,0.2937,0.106542,0.021799,0.03322,0.6784,0.5809,0.07767
2010-01-05,1136.52,257.59,10681.83,3282.179,13142.03,8211.4,1690.62,17686.24,639.2,475.21,4260.67,1261.513,222.097,690.892,732.348,77.619,1.4365,0.010905,0.12893,0.031392,0.08769,0.021626,0.7155,0.030151,0.2948,0.107394,0.021755,0.03359,0.679,0.5783,0.07806
2010-01-06,1137.14,257.96,10731.45,3254.215,13246.21,8327.62,1705.32,17701.13,641.71,476.25,4277.52,1259.045,221.675,694.032,733.252,77.493,1.4408,0.010832,0.12896,0.031379,0.08848,0.021806,0.7166,0.030173,0.2972,0.108395,0.021803,0.03365,0.67958,0.577,0.07851
2010-01-07,1141.69,258.04,10681.66,3192.776,13073.2,8237.42,1683.45,17615.72,639.27,475.42,4268.71,1258.015,221.485,697.437,732.232,77.913,1.4308,0.010713,0.12894,0.031377,0.08787,0.021887,0.7152,0.03017,0.2967,0.107718,0.021783,0.03359,0.67907,0.5732,0.07821
2010-01-08,1144.98,259.15,10798.32,3195.998,13035.09,8280.9,1695.26,17540.29,641.88,476.25,4260.28,1259.479,221.911,698.79,733.43,77.471,1.4409,0.01079,0.12893,0.031375,0.08893,0.021853,0.7171,0.030205,0.2963,0.108501,0.021859,0.03359,0.68517,0.579,0.07876
2010-01-11,1146.98,258.81,10798.32,3212.75,13119.03,8323.82,1694.12,17526.71,649.29,499.8,4278.28,1259.363,223.929,699.962,738.838,77.005,1.4513,0.010859,0.12894,0.031491,0.08928,0.02206,0.7207,0.030257,0.2999,0.109212,0.021954,0.0341,0.68982,0.5766,0.07849
2010-01-12,1136.22,256.38,10879.14,3273.966,12967.37,8309.37,1698.64,17422.51,647.97,492.07,4241.38,1265.113,224.839,700.349,738.578,76.954,1.4485999999999999,0.010991,0.12895,0.031462,0.08899,0.021906,0.719,0.030257,0.2996,0.109051,0.021868,0.03387,0.68788,0.5724,0.07802
2010-01-13,1145.68,256.96,10735.03,3172.658,12482.18,8196.56,1671.41,17509.8,642.85,494.16,4233.99,1261.336,224.352,700.242,736.654,76.846,1.451,0.010944,0.12892,0.031447,0.08911,0.021899,0.7198,0.03028,0.2989,0.109212,0.02181,0.03383,0.68887,0.5687,0.0787
2010-01-14,1148.46,258.84,10907.68,3215.55,12363.37,8289.98,1685.77,17584.87,647.7,498.97,4162.26,1264.902,224.732,700.685,735.041,76.732,1.4499,0.010965,0.1289,0.031499,0.08905,0.021959,0.7207,0.030441,0.2999,0.109159,0.021872,0.03396,0.68705,0.5684,0.07892
