model,return,sharpe,cost,n_trade,start,end
TR(1%), 102.99, 0.0124, 22.94, 199, 2017-10-29, 2019-10-29
TR(2%), 102.99, 0.0124, 22.94, 197, 2017-10-29, 2019-10-29
TR(3%), 102.98, 0.0124, 22.88, 192, 2017-10-29, 2019-10-29
TR(4%), 102.98, 0.0124, 22.76, 184, 2017-10-29, 2019-10-29
TR(5%), 102.97, 0.0124, 22.73, 182, 2017-10-29, 2019-10-29
PR(1), 102.99, 0.0124, 22.94, 521, 2017-10-29, 2019-10-29
PR(2), 106.20, 0.0191, 16.30, 260, 2017-10-29, 2019-10-29
PR(3), 104.20, 0.0149, 12.72, 173, 2017-10-29, 2019-10-29
PR(4), 101.31, 0.0088, 7.16, 130, 2017-10-29, 2019-10-29
PR(5), 99.69, 0.0053, 8.29, 104, 2017-10-29, 2019-10-29
PR(6), 108.63, 0.0238, 7.29, 86, 2017-10-29, 2019-10-29
PR(9), 101.84, 0.0099, 5.85, 57, 2017-10-29, 2019-10-29
PR(12), 101.81, 0.0098, 4.57, 43, 2017-10-29, 2019-10-29
BH, 100.14, 0.0078, 0, 1, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 1.54, 44, 2017-10-29, 2019-10-29
a2c_2, 113.78,0.0365, 1.52, 148, 2017-10-29, 2019-10-29
a2c_3, 100.28,0.0077, 10.96, 203, 2017-10-29, 2019-10-29
