a2c_1, 114.96,0.0103, 8.43, 290, 2009-10-29, 2019-10-29
a2c_1, 115.02,0.0103, 8.07, 282, 2009-10-29, 2019-10-29
a2c_1, 115.42,0.0104, 7.23, 273, 2009-10-29, 2019-10-29
a2c_1, 115.70,0.0105, 8.52, 279, 2009-10-29, 2019-10-29
a2c_1, 116.21,0.0106, 7.56, 274, 2009-10-29, 2019-10-29
a2c_1, 114.94,0.0103, 7.68, 275, 2009-10-29, 2019-10-29
a2c_1, 114.80,0.0102, 7.63, 282, 2009-10-29, 2019-10-29
a2c_1, 114.49,0.0102, 7.60, 276, 2009-10-29, 2019-10-29
a2c_1, 114.36,0.0101, 7.36, 275, 2009-10-29, 2019-10-29
a2c_1, 114.62,0.0102, 7.91, 285, 2009-10-29, 2019-10-29
a2c_1, 115.24,0.0103, 7.74, 288, 2009-10-29, 2019-10-29
a2c_1, 115.55,0.0104, 7.84, 280, 2009-10-29, 2019-10-29
a2c_1, 115.02,0.0103, 7.93, 282, 2009-10-29, 2019-10-29
a2c_1, 114.50,0.0102, 7.20, 274, 2009-10-29, 2019-10-29
a2c_1, 114.86,0.0102, 7.22, 277, 2009-10-29, 2019-10-29
a2c_1, 114.30,0.0101, 7.04, 274, 2009-10-29, 2019-10-29
a2c_1, 115.60,0.0104, 7.91, 278, 2009-10-29, 2019-10-29
a2c_1, 116.47,0.0107, 9.00, 290, 2009-10-29, 2019-10-29
a2c_1, 115.90,0.0105, 6.93, 269, 2009-10-29, 2019-10-29
a2c_1, 115.35,0.0104, 7.82, 285, 2009-10-29, 2019-10-29
a2c_1, 116.60,0.0107, 7.33, 270, 2009-10-29, 2019-10-29
a2c_1, 116.71,0.0107, 8.54, 285, 2009-10-29, 2019-10-29
a2c_1, 114.48,0.0101, 7.05, 272, 2009-10-29, 2019-10-29
a2c_1, 114.88,0.0103, 7.65, 280, 2009-10-29, 2019-10-29
a2c_1, 113.96,0.0100, 7.82, 285, 2009-10-29, 2019-10-29
