,Observation,Next State,Current Weight,Action,# Rebalance,Trading Cost,Trace Error,Daily Return,Total Cost,Total Error,Total UE,Total Return,Reward
11,"[[0.3905147 ]
 [0.27035558]
 [0.23562477]
 [0.10350495]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.48918052 0.17013963 0.23822777 0.10524523],[ 5.11875346e-04  3.94519627e-04 -9.92920065e-04  8.65250912e-05],9,5.814907882827736e-06,2.003456311556217,1.0020132578881953,0.004805265753542055,24.041475738674606,-0.16024278686790225,1.0048220877922809,-1.0014488685759046
12,"[[0.48781798]
 [0.16966573]
 [0.23756422]
 [0.10495208]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.39306346 0.26989624 0.23976174 0.10329305],[ 0.0999853  -0.10095557  0.00187524 -0.00090497],10,0.000597734059674659,2.003456311556217,1.0027931401720447,0.005402999813216714,26.044932050230823,-0.19306914997495445,1.0076286967314514,-1.0012609054438473
13,"[[0.39071352]
 [0.26828266]
 [0.23832831]
 [0.10267551]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.49443679 0.1697774  0.24038517 0.10270237],[-9.73179670e-02  9.97342734e-02 -6.42051540e-05 -2.35210125e-03],11,0.0005868914771366596,2.003456311556217,1.006014495146194,0.005989891290353374,28.04838836178704,-0.19250260613374712,1.0136890746371086,-0.9980287078871599
14,"[[0.49085271]
 [0.16854671]
 [0.23864267]
 [0.1019579 ]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.39021287 0.27022217 0.23750001 0.1023958 ],[ 9.97864850e-02 -9.88826493e-02 -8.28301888e-04 -7.55337915e-05],12,0.000590730422585621,2.003456311556217,1.0073017338219787,0.006580621712938995,30.051844673343258,-0.22605891863086702,1.0210907624383567,-0.9967453081568243
15,"[[0.39008381]
 [0.2701328 ]
 [0.23742146]
 [0.10236193]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.38974582 0.2701328  0.23891515 0.10298316],[-0.10035271  0.10085329 -0.00114266  0.00064208],13,0.0006052341075560542,2.003456311556217,1.000330856501153,0.007185855820495049,32.055300984899475,-0.22480322832896033,1.0214285969553767,-1.0037306891626203
16,"[[0.3890545 ]
 [0.26965364]
 [0.23849137]
 [0.10280049]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.46648563 0.19059408 0.23721977 0.10155423],[ 4.16197872e-04 -7.32796076e-04  7.85524334e-05  2.38045770e-04],13,4.371233387464568e-06,2.003456311556217,1.0017769178999254,0.0071902270538825135,34.058757296455695,-0.2237735008580978,1.0232435917128024,-1.001683764889679
17,"[[0.46842787]
 [0.19138763]
 [0.23820745]
 [0.10197705]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.46930593 0.19059408 0.23750001 0.10259998],[0.43100129 0.22851479 0.235849   0.10236972],[ 0.08025143 -0.07905957 -0.00099136 -0.00020051],14,0.0004795619134301289,2.003456311556217,0.9958537036488861,0.007669788967312643,36.062213608011916,-0.24949411758149792,1.019000920542183,-1.0080821698207614
18,"[[0.43197981]
 [0.2290336 ]
 [0.23638446]
 [0.10260213]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.43138522 0.22851479 0.23750001 0.10259998],[0.49064637 0.16940001 0.24167087 0.10254371],[-0.03704265  0.03712716 -0.00070744  0.00062292],15,0.00022464946417138313,2.003456311556217,0.9977347918556742,0.007894438431484026,38.06566991956814,-0.2621481346806763,1.0166926713578954,-1.0059461691647145
19,"[[0.48856462]
 [0.16868126]
 [0.24064549]
 [0.10210863]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48884324 0.16868126 0.24137209 0.10293526],[ 5.85201925e-02 -5.96335928e-02  1.11555360e-03 -2.15329577e-06],16,0.0003540863597402901,2.003456311556217,1.0042609493860906,0.008248524791224315,40.06912623112436,-0.2958310927187531,1.0210247473717606,-0.999549448529867
20,"[[0.48794939]
 [0.16837283]
 [0.24093074]
 [0.10274705]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.39333693 0.2677801  0.23761705 0.10380554],[ 0.00193539  0.00071874 -0.00314548  0.00049135],16,1.8755801551935247e-05,2.003456311556217,1.0018318528364278,0.00826728059277625,42.07258254268058,-0.3295926741868398,1.0228951144512965,-1.0016432145213412
21,"[[0.39234053]
 [0.26710177]
 [0.23701512]
 [0.10354258]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.48946239 0.17030706 0.23917156 0.10126643],[-0.09744938  0.10102717 -0.00343072 -0.00014707],17,0.0006035067636126431,2.003456311556217,1.0025396199133274,0.008870787356388894,44.0760388542368,-0.32923585258296467,1.0254928792532023,-1.0015201984065025
22,"[[0.48936088]
 [0.17027174]
 [0.23912196]
 [0.10124542]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48947188 0.17006161 0.2382465  0.10072115],[ 0.09815947 -0.09770176  0.00048489 -0.0009426 ],18,0.0005907690812491905,2.003456311556217,1.0002074376377674,0.009461556437638085,46.07949516579302,-0.3623069642427619,1.025705605073622,-1.003839642999699
23,"[[0.49020663]
 [0.17031689]
 [0.23860414]
 [0.10087234]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49054653 0.17106738 0.23822318 0.10194009],[ 0.00113912 -0.00087173 -0.00162195  0.00135456],18,1.493743628736818e-05,2.003456311556217,0.9985011364923833,0.009476493873925454,48.08295147734924,-0.3953457806219387,1.0241682123726192,-1.0049701125001214
24,"[[0.48967629]
 [0.1707639 ]
 [0.23780057]
 [0.10175924]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.46219246 0.20137575 0.23783397 0.10302202],[ 0.00029337 -0.00091688 -0.00110413  0.00172763],18,1.2087933783645625e-05,2.003456311556217,1.0017771870925944,0.009488581807709099,50.08640778890546,-0.42808421634977334,1.0259883509002934,-1.0016912123974064
25,"[[0.46015663]
 [0.20048875]
 [0.23678638]
 [0.10256824]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.45954892 0.20035109 0.23750001 0.10259998],[0.39189256 0.27054423 0.23753816 0.1043555 ],[-0.03012737  0.02958718 -0.00030055  0.00084074],19,0.00018231717047218954,2.003456311556217,1.0044242025036385,0.009670898978181288,52.08986410046168,-0.4505188707833302,1.0305275311310504,-0.9992144262230509
26,"[[0.39020281]
 [0.26937771]
 [0.23651395]
 [0.10390554]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.39224977 0.27107485 0.23665894 0.10469497],[-6.96566225e-02  6.89112520e-02  7.13629183e-04  3.17413304e-05],20,0.0004192131126210836,2.003456311556217,1.0043304370448785,0.010090112090802373,54.0933204120179,-0.4493089214835829,1.0349901657276275,-0.99954508762396
27,"[[0.39042316]
 [0.26981253]
 [0.23555688]
 [0.10420744]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.43890787 0.22281936 0.23739689 0.10181968],[ 2.97202715e-04  2.22934844e-05  9.86064162e-04 -1.30556036e-03],20,7.891254063665857e-06,2.003456311556217,1.0046785332187447,0.010098003344866038,56.09677672357412,-0.4478371099835448,1.0398324015990583,-0.998785669591536
28,"[[0.43849401]
 [0.22260926]
 [0.23717305]
 [0.10172367]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.43715605 0.22274396 0.23750001 0.10259998],[0.39244952 0.26898626 0.23596008 0.10510091],[ 0.04673289 -0.04706857  0.00194313 -0.00160746],21,0.00029559106456255696,2.003456311556217,1.000943805206861,0.010393594409428594,58.100233035130344,-0.46282917218013386,1.0408138008339505,-1.0028080974139186
29,"[[0.3914721 ]
 [0.26831634]
 [0.23537241]
 [0.10483915]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.39113383 0.26970536 0.2365905  0.10482458],[-0.04799401  0.04679074  0.00032697  0.0008763 ],22,0.00029172448831044,2.003456311556217,1.0024967675547067,0.010685318897739035,60.103689346686565,-0.4617984908641085,1.0434124709623638,-1.001251268489821
30,"[[0.39025409]
 [0.26909874]
 [0.23605836]
 [0.10458881]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.39090916 0.26680371 0.2374553  0.1031168 ],[-0.00097209  0.00108366  0.0021276  -0.00223917],22,1.9567923603725405e-05,2.003456311556217,1.0022542736496205,0.01070488682134276,62.107145658242786,-0.46058494922771925,1.0457646082013397,-1.0012216058302004
31,"[[0.39158073]
 [0.26726207]
 [0.23786324]
 [0.10329395]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.4905     0.1714043  0.23910869 0.1037562 ],[ 0.00024592  0.00030126  0.00144165 -0.00198883],22,1.214630083567195e-05,2.003456311556217,0.9982849813673302,0.010717033122178431,64.110601969799,-0.4602724054800631,1.0439711024128877,-1.0051834764897227
32,"[[0.48817182]
 [0.17059072]
 [0.23797375]
 [0.10326372]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49112432 0.17129441 0.23880412 0.10364574],[ 0.09891927 -0.09786207 -0.00036323 -0.00069398],23,0.0006030901403930181,2.003456311556217,1.0047691924522242,0.011320123262571449,66.11405828135523,-0.4929610924131289,1.0489500015148554,-0.9992902092443858
33,"[[0.48874482]
 [0.17046449]
 [0.23764712]
 [0.10314357]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48821586 0.17087801 0.23849916 0.10373938],[ 0.00232819 -0.00119071 -0.00047374 -0.00066374],23,1.4262156145690492e-05,2.003456311556217,1.004868589580525,0.01133438541871714,68.11751459291145,-0.5256726384446291,1.0540569085627223,-0.9986019841318381
34,"[[0.48756622]
 [0.17065063]
 [0.2381818 ]
 [0.10360134]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.39066362 0.2685869  0.23773254 0.10217268],[ 0.00175518 -0.00106448 -0.0001471  -0.00054359],23,1.0804359594577861e-05,2.003456311556217,1.001332411368479,0.011345189778311717,70.12097090446767,-0.5583320887110303,1.055461345970715,-1.0021347045473328
35,"[[0.39099373]
 [0.26881385]
 [0.23793341]
 [0.10225901]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.39157762 0.268984   0.23793341 0.10033376],[-0.09706622  0.09874937 -0.00068179 -0.00100136],24,0.0006086806731990618,2.003456311556217,0.9991557358784795,0.011953870451510779,72.12442721602389,-0.5575823510885174,1.05457025782466,-1.0049092563509365
36,"[[0.39203678]
 [0.2692994 ]
 [0.23821241]
 [0.10045141]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.49099934 0.16811012 0.23684167 0.10252944],[-0.00049372  0.00058615 -0.0004334   0.00034097],24,5.709851063656266e-06,2.003456311556217,0.9988287898355072,0.011959580302574435,74.12788352758011,-0.5568427005409728,1.053335134419524,-1.0046332315717734
37,"[[0.49174651]
 [0.16836594]
 [0.23720208]
 [0.10268546]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.38949317 0.37089568 0.1371681  0.10195884],[ 0.09846323 -0.0998994  -0.0007124   0.00214857],25,0.0006189111726131692,2.003456311556217,0.9984805812428241,0.012578491475187605,76.13133983913633,-0.5902672061342571,1.0517346772586946,-1.0055946414860062
38,"[[0.38968186]
 [0.37107536]
 [0.13723455]
 [0.10200823]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.36939996 0.13750005 0.10259998],[0.39583964 0.26983214 0.23949275 0.10322227],[-1.01246502e-01  2.01034022e-01 -9.97020343e-02 -8.54863035e-05],26,0.0012347772037429082,2.003456311556217,0.9995157855884735,0.013813268678930513,78.13479615069255,-0.5453347019883881,1.0512254121708637,-1.0051753031714865
39,"[[0.39254742]
 [0.26758794]
 [0.23750088]
 [0.10236376]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.48762574 0.16851803 0.23631433 0.10129152],[ 0.00081815 -0.10167536  0.10026547  0.00059175],27,0.0006242009533966085,2.003456311556217,1.0083867918735698,0.014437469632327121,80.13825246224877,-0.5449546760444198,1.0600418209149485,-0.9956937206360441
40,"[[0.49069275]
 [0.16957796]
 [0.23780068]
 [0.10192861]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49093996 0.16896286 0.23774015 0.10289008],[ 9.79525788e-02 -9.81879289e-02 -8.66583352e-07  2.36216774e-04],28,0.0006078519009070821,2.003456311556217,0.9937496313116203,0.015045321533234204,82.141708773805,-0.5780837356192559,1.0534161687091286,-1.010314532145504
41,"[[0.4906784 ]
 [0.16887284]
 [0.23761349]
 [0.10283526]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48907034 0.16968895 0.23939145 0.10336663],[-0.00019275 -0.00017795 -0.00030066  0.00067136],28,4.130195881148404e-06,2.003456311556217,1.00053305486224,0.015049451729115352,84.14516508536121,-0.6113608612171222,1.0539776973198212,-1.0029273868898585
42,"[[0.48832937]
 [0.16943186]
 [0.23902875]
 [0.10321002]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48690672 0.1698794  0.23862859 0.10229227],[-0.0001784   0.00052716 -0.00011348 -0.00023528],28,3.244803773233225e-06,2.003456311556217,1.001517361896349,0.015052696532888585,86.14862139691743,-0.6445469143722413,1.055576962917336,-1.0019421944636413
43,"[[0.48802577]
 [0.17026983]
 [0.23917703]
 [0.10252737]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.41698721 0.24182812 0.23670053 0.10098613],[ 2.17063428e-03 -3.18531013e-05 -1.52874072e-03 -6.10040451e-04],28,1.3381025768143442e-05,2.003456311556217,0.997706983019659,0.015066077558656727,88.15207770847366,-0.6775173837220357,1.0531565070173097,-1.0057627095623265
44,"[[0.41845096]
 [0.24267701]
 [0.23753141]
 [0.10134062]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4179419  0.24195811 0.23750001 0.10259998],[0.49089232 0.16814968 0.23772344 0.10124612],[-7.00838702e-02  7.16882793e-02 -1.67701618e-03  7.26070433e-05],29,0.000441360595586653,2.003456311556217,0.9965019887341751,0.01550743815424338,90.15553402002988,-0.6857262232012065,1.0494725536910863,-1.0073956834176288
45,"[[0.49187037]
 [0.1684847 ]
 [0.23819708]
 [0.10144784]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49347814 0.16827593 0.23833788 0.1021774 ],[ 7.20490435e-02 -7.32769986e-02 -3.14012511e-05  1.25935638e-03],30,0.00044930129724900177,2.003456311556217,0.9980115742214914,0.015956739451492383,92.1589903315861,-0.7193048476854236,1.0473857554114898,-1.0058940386319748
46,"[[0.4923608 ]
 [0.16789492]
 [0.23779823]
 [0.10194605]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.3906432  0.27143461 0.23750001 0.10368187],[-0.00137037  0.0009153  -0.00069707  0.00115213],30,1.2645962670130541e-05,2.003456311556217,1.0022693423473321,0.015969385414162512,94.16244664314232,-0.7530065219728362,1.0497626322602376,-1.001199615171555
47,"[[0.38937396]
 [0.27055269]
 [0.23672835]
 [0.103345  ]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.48884259 0.16952058 0.24157291 0.10143626],[-0.10186079  0.10150509 -0.00029822  0.00065393],31,0.0006262974648596129,2.003456311556217,1.0032596992147316,0.016595682879022126,96.16590295469854,-0.7514619152518353,1.0531845426882709,-1.000822909806345
48,"[[0.48817265]
 [0.16928826]
 [0.24124184]
 [0.10129724]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49226097 0.16941536 0.24087706 0.10330861],[ 0.10112605 -0.10115269  0.00077166 -0.00074502],32,0.000626731812798478,2.003456311556217,1.0013723409677149,0.017222414691820606,98.16935926625476,-0.7850601901164027,1.0546298709827662,-1.0027107024013007
49,"[[0.48939215]
 [0.16842803]
 [0.23947327]
 [0.10270655]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48859608 0.16983993 0.24100258 0.10413487],[ 0.00232735  0.00011175 -0.00374183  0.00130273],32,2.304607902011996e-05,2.003456311556217,1.0058620004680012,0.017245460770840725,100.17281557781098,-0.8186716240957691,1.0608121117800353,-0.9976173571672362
50,"[[0.48685632]
 [0.16923517]
 [0.24014443]
 [0.10376407]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48985531 0.26680498 0.13779349 0.10191315],[ 0.00110785  0.00097198 -0.00197326 -0.00010657],32,1.2884833673395192e-05,2.003456311556217,1.003573450503356,0.01725834560451412,102.1762718893672,-0.8519819036791515,1.0646028713548419,-0.9998957458865345
51,"[[0.49164148]
 [0.26777783]
 [0.13829593]
 [0.10228476]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.26939997 0.13750005 0.10259998],[0.38971515 0.27051182 0.23645666 0.10393173],[ 0.00364368  0.1001648  -0.10264438 -0.00116409],33,0.0006454064609773776,2.003456311556217,0.9963669285435309,0.0179037520654915,104.17972820092342,-0.8423770914498713,1.0607350930504476,-1.0077347894736635
52,"[[0.38947549]
 [0.27034546]
 [0.23631124]
 [0.10386781]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.48441388 0.16996295 0.23723217 0.10078879],[-0.10114147  0.00162217  0.09920408  0.00031522],34,0.0006265403327587016,2.003456311556217,1.0006153529908124,0.0185302923982502,106.18318451247964,-0.8408212833574709,1.0613878195624158,-1.0034674988981633
53,"[[0.4881247 ]
 [0.17126494]
 [0.23904947]
 [0.10156088]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48904722 0.17040426 0.23647319 0.10198955],[ 0.10102452 -0.10094545  0.00118877 -0.00126783],35,0.0006335695498979554,2.003456311556217,0.9923977979902447,0.019163861948148155,108.18664082403586,-0.8735206164749327,1.0533189349474086,-1.0116920831158704
54,"[[0.4900694 ]
 [0.17076043]
 [0.23696745]
 [0.10220272]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.48954979 0.17093565 0.23830374 0.10166253],[ 0.0023753  -0.00186494 -0.00154946  0.0010391 ],35,2.100325702906731e-05,2.003456311556217,0.9979142209062182,0.01918486520517722,110.19009713559208,-0.9061464545807678,1.0511219443338107,-1.0055630939070281
55,"[[0.48932875]
 [0.17085847]
 [0.23819615]
 [0.10161663]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.39017043 0.27113281 0.23822258 0.10379128],[ 0.00043061 -0.00136042  0.00053256  0.00039726],35,8.351038565229054e-06,2.003456311556217,1.0004517127823176,0.01919321624374245,112.1935534471483,-0.9389010081903348,1.0515967495518408,-1.0030129498124647
56,"[[0.38888047]
 [0.27023641]
 [0.23743499]
 [0.10344813]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.38848396 0.2700306  0.23594806 0.10365648],[-0.09882874  0.09854153 -0.00069613  0.00098335],36,0.000611214615449446,2.003456311556217,1.0033170895997292,0.019804430859191896,114.19700975870452,-0.9375210607842013,1.0550849901928883,-1.0007504365719375
57,"[[0.38921604]
 [0.27053946]
 [0.23639269]
 [0.10385181]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.49405686 0.16867371 0.23890021 0.10308352],[ 1.61953501e-03 -8.36409487e-04  6.50244159e-05 -8.48149938e-04],36,1.0379743643182657e-05,2.003456311556217,0.9981190988576338,0.01981481060283508,116.20046607026075,-0.9359079003337938,1.0531004796295411,-1.0053475924422266
58,"[[0.49173866]
 [0.16788226]
 [0.23777925]
 [0.10259983]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49227239 0.16728184 0.23876491 0.10356665],[ 0.10128397 -0.10113945  0.00110732 -0.00125183],37,0.000629717338998669,2.003456311556217,1.0047142925875572,0.020444527941833747,118.20392238181697,-0.9695578854403004,1.0580651034146116,-0.9993717363076589
