model,return,sharpe,cost,n_trade,start,end
a2c_1, 130.01,0.0706, 2.72, 89, 2015-10-29, 2017-10-29
a2c_1, 130.02,0.0712, 1.92, 85, 2015-10-29, 2017-10-29
a2c_1, 129.06,0.0707, 2.10, 85, 2015-10-29, 2017-10-29
a2c_1, 129.70,0.0706, 1.75, 86, 2015-10-29, 2017-10-29
a2c_1, 128.69,0.0700, 1.97, 87, 2015-10-29, 2017-10-29
a2c_1, 129.60,0.0703, 1.97, 88, 2015-10-29, 2017-10-29
a2c_1, 128.98,0.0706, 1.97, 88, 2015-10-29, 2017-10-29
a2c_1, 129.94,0.0711, 2.10, 87, 2015-10-29, 2017-10-29
a2c_1, 129.25,0.0712, 1.93, 88, 2015-10-29, 2017-10-29
a2c_1, 130.04,0.0712, 1.87, 86, 2015-10-29, 2017-10-29
a2c_1, 128.64,0.0699, 1.97, 87, 2015-10-29, 2017-10-29
a2c_1, 130.27,0.0717, 2.11, 89, 2015-10-29, 2017-10-29
a2c_1, 129.19,0.0711, 1.73, 84, 2015-10-29, 2017-10-29
a2c_1, 129.96,0.0712, 1.99, 85, 2015-10-29, 2017-10-29
a2c_1, 129.36,0.0714, 1.84, 82, 2015-10-29, 2017-10-29
a2c_1, 129.88,0.0709, 1.99, 87, 2015-10-29, 2017-10-29
a2c_1, 129.68,0.0720, 2.26, 90, 2015-10-29, 2017-10-29
a2c_1, 129.47,0.0701, 2.10, 89, 2015-10-29, 2017-10-29
a2c_1, 129.57,0.0717, 2.15, 90, 2015-10-29, 2017-10-29
a2c_1, 129.62,0.0703, 2.02, 90, 2015-10-29, 2017-10-29
a2c_1, 129.01,0.0706, 1.97, 86, 2015-10-29, 2017-10-29
a2c_1, 129.51,0.0701, 1.98, 88, 2015-10-29, 2017-10-29
a2c_1, 129.26,0.0712, 1.86, 85, 2015-10-29, 2017-10-29
a2c_1, 129.35,0.0698, 2.21, 91, 2015-10-29, 2017-10-29
a2c_1, 129.50,0.0717, 1.96, 84, 2015-10-29, 2017-10-29
a2c_1, 129.70,0.0706, 1.87, 86, 2015-10-29, 2017-10-29
a2c_1, 128.22,0.0691, 1.75, 85, 2015-10-29, 2017-10-29
a2c_1, 129.25,0.0696, 1.94, 88, 2015-10-29, 2017-10-29
a2c_1, 128.91,0.0705, 2.00, 87, 2015-10-29, 2017-10-29
a2c_1, 129.36,0.0698, 1.96, 86, 2015-10-29, 2017-10-29
a2c_1, 128.68,0.0700, 1.84, 86, 2015-10-29, 2017-10-29
a2c_1, 129.64,0.0705, 1.72, 83, 2015-10-29, 2017-10-29
a2c_1, 129.18,0.0710, 1.97, 88, 2015-10-29, 2017-10-29
a2c_1, 130.34,0.0720, 1.75, 87, 2015-10-29, 2017-10-29
a2c_1, 128.78,0.0702, 1.96, 86, 2015-10-29, 2017-10-29
a2c_1, 129.85,0.0708, 1.98, 89, 2015-10-29, 2017-10-29
a2c_1, 129.14,0.0709, 1.97, 87, 2015-10-29, 2017-10-29
a2c_1, 129.43,0.0700, 1.97, 87, 2015-10-29, 2017-10-29
a2c_1, 129.17,0.0709, 1.87, 83, 2015-10-29, 2017-10-29
a2c_1, 129.01,0.0692, 1.79, 88, 2015-10-29, 2017-10-29
a2c_1, 128.85,0.0704, 1.61, 82, 2015-10-29, 2017-10-29
a2c_1, 129.74,0.0707, 1.63, 82, 2015-10-29, 2017-10-29
a2c_1, 129.03,0.0708, 1.73, 84, 2015-10-29, 2017-10-29
a2c_1, 129.45,0.0700, 1.97, 88, 2015-10-29, 2017-10-29
a2c_1, 128.61,0.0697, 1.96, 87, 2015-10-29, 2017-10-29
a2c_1, 129.26,0.0698, 1.74, 86, 2015-10-29, 2017-10-29
a2c_1, 129.25,0.0711, 1.85, 84, 2015-10-29, 2017-10-29
a2c_1, 129.11,0.0694, 1.87, 89, 2015-10-29, 2017-10-29
a2c_1, 129.51,0.0717, 2.22, 91, 2015-10-29, 2017-10-29
a2c_1, 128.98,0.0692, 1.73, 84, 2015-10-29, 2017-10-29
a2c_1, 128.82,0.0704, 1.73, 83, 2015-10-29, 2017-10-29
a2c_1, 130.47,0.0721, 2.11, 88, 2015-10-29, 2017-10-29
a2c_1, 128.87,0.0705, 1.85, 86, 2015-10-29, 2017-10-29
a2c_1, 129.72,0.0706, 1.97, 86, 2015-10-29, 2017-10-29
a2c_1, 129.10,0.0709, 2.09, 89, 2015-10-29, 2017-10-29
a2c_1, 129.77,0.0708, 1.87, 85, 2015-10-29, 2017-10-29
a2c_1, 129.38,0.0713, 1.85, 82, 2015-10-29, 2017-10-29
a2c_1, 129.62,0.0705, 1.75, 85, 2015-10-29, 2017-10-29
a2c_1, 128.66,0.0700, 1.97, 85, 2015-10-29, 2017-10-29
a2c_1, 129.24,0.0697, 1.86, 88, 2015-10-29, 2017-10-29
a2c_1, 128.88,0.0705, 1.73, 85, 2015-10-29, 2017-10-29
a2c_1, 129.29,0.0697, 1.86, 87, 2015-10-29, 2017-10-29
a2c_1, 129.29,0.0713, 1.85, 85, 2015-10-29, 2017-10-29
a2c_1, 130.04,0.0713, 1.90, 87, 2015-10-29, 2017-10-29
a2c_1, 128.16,0.0689, 1.78, 86, 2015-10-29, 2017-10-29
a2c_1, 129.63,0.0705, 1.98, 88, 2015-10-29, 2017-10-29
a2c_1, 128.60,0.0698, 2.08, 86, 2015-10-29, 2017-10-29
a2c_1, 129.74,0.0707, 1.75, 84, 2015-10-29, 2017-10-29
a2c_1, 129.11,0.0707, 1.83, 85, 2015-10-29, 2017-10-29
a2c_1, 129.81,0.0708, 1.86, 83, 2015-10-29, 2017-10-29
a2c_1, 128.71,0.0701, 1.84, 85, 2015-10-29, 2017-10-29
a2c_1, 128.72,0.0686, 1.79, 89, 2015-10-29, 2017-10-29
a2c_1, 128.89,0.0704, 1.96, 86, 2015-10-29, 2017-10-29
a2c_1, 129.36,0.0699, 1.74, 85, 2015-10-29, 2017-10-29
a2c_1, 129.03,0.0707, 2.09, 87, 2015-10-29, 2017-10-29
a2c_1, 129.88,0.0709, 1.98, 88, 2015-10-29, 2017-10-29
a2c_1, 128.44,0.0695, 1.62, 84, 2015-10-29, 2017-10-29
a2c_1, 129.91,0.0710, 1.87, 86, 2015-10-29, 2017-10-29
a2c_1, 128.88,0.0704, 1.84, 85, 2015-10-29, 2017-10-29
a2c_1, 129.06,0.0692, 1.95, 89, 2015-10-29, 2017-10-29
a2c_1, 129.11,0.0709, 1.84, 84, 2015-10-29, 2017-10-29
a2c_1, 129.82,0.0708, 1.96, 85, 2015-10-29, 2017-10-29
a2c_1, 128.81,0.0703, 1.96, 88, 2015-10-29, 2017-10-29
a2c_1, 128.80,0.0688, 1.76, 86, 2015-10-29, 2017-10-29
a2c_1, 128.85,0.0704, 2.08, 88, 2015-10-29, 2017-10-29
a2c_1, 129.29,0.0698, 1.98, 86, 2015-10-29, 2017-10-29
a2c_1, 129.22,0.0711, 1.97, 86, 2015-10-29, 2017-10-29
a2c_1, 129.65,0.0704, 1.98, 88, 2015-10-29, 2017-10-29
a2c_1, 128.76,0.0701, 2.13, 87, 2015-10-29, 2017-10-29
